pollutantCode,Facility_INSPIRE_ID,parentCompanyName,nameOfFeature,countryCode,NUTSRegionSourceCode,NUTSRegionSourceName,city,pointGeometryLat,pointGeometryLon,mainActivityCode,mainActivityName,reportingYear,totalPollutantQuantityKg,methodCode,methodName,rn,emissions_tco2,geometry
CO2,IT.CAED/520162001.FACILITY,COLACEM S.P.A.,COLACEM S.P.A. - CEMENTERIA DI RASSINA,IT,ITI18,Arezzo,CASTEL FOCOGNANO,43.6581,11.8367,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,402310000,C,Calculated: calculation method used,1,402310,POINT (11.8367 43.6581)
CO2,IT.CAED/550162001.FACILITY,DS Smith Paper Italia srl,Impianto di cogenerazione,IT,ITI12,Lucca,PORCARI,43.8233,10.6002,1(c),Thermal power stations and other combustion installations,2023,294337022.6,E,Estimated,1,294337.0226,POINT (10.6002 43.8233)
CO2,IT.CAED/400572001.FACILITY,FRULLO ENERGIA AMBIENTE S.R.L.,FRULLO ENERGIA AMBIENTE S.R.L.,IT,ITH55,Bologna,GRANAROLO DELL'EMILIA,44.5239,11.4311,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,196555000,M,Measured: analytical method used,1,196555,POINT (11.4311 44.5239)
CO2,IT.CAED/411222010.FACILITY,HERAMBIENTE S.P.A.,HERAMBIENTE S.R.L.  - IMPIANTO DI TERMOVALORIZZAZIONE RIFIUTI NON PERICOLOSI,IT,ITH54,Modena,MODENA,44.6714,10.9439,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,221172830.4,M,Measured: analytical method used,1,221172.8304,POINT (10.9439 44.6714)
CO2,IT.CAED/060242002.FACILITY,COLACEM S.P.A.,COLACEM S.P.A. - CEMENTERIA DI GHIGIANO,IT,ITI21,Perugia,GUBBIO,43.2844,12.6178,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,336074000,C,Calculated: calculation method used,1,336074,POINT (12.6178 43.2844)
CO2,IT.CAED/060242001.FACILITY,Cementerie Aldo Barbetti S.p.A.,Stabilimento di Gubbio CEMENTERIE ALDO BARBETTI S.p.A.,IT,ITI21,Perugia,GUBBIO,43.3636,12.5467,3(c),"Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.",2023,482587000,C,Calculated: calculation method used,1,482587,POINT (12.5467 43.3636)
CO2,IT.CAED/600151001.FACILITY,Italiana Petroli,api Raffineria di Ancona spa,IT,ITI32,Ancona,FALCONARA MARITTIMA,43.6395,13.3813,1(a),Mineral oil and gas refineries,2023,518892000,M,Measured: analytical method used,1,518892,POINT (13.3813 43.6395)
CO2,IT.CAED/478532001.FACILITY,HERAMBIENTE S.P.A.,HERAMBIENTE s.p.a (inceneritore),IT,ITH59,Rimini,CORIANO,43.9793,12.6345,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,135905404.8,M,Measured: analytical method used,1,135905.40480000002,POINT (12.6345 43.9793)
CO2,IT.CAED/471222018.FACILITY,HERAMBIENTE S.P.A.,HERAMBIENTE - 3^ LINEA,IT,ITH58,Forlì-Cesena,FORLI',44.2331,12.0883,5(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2023,148614000,M,Measured: analytical method used,1,148614,POINT (12.0883 44.2331)
CO2,IT.CAED/481232018.FACILITY,POLYNT S.P.A.,Polynt spa,IT,ITH57,Ravenna,RAVENNA,44.4333,12.2375,4(a),"Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.",2023,115645000,C,Calculated: calculation method used,1,115645,POINT (12.2375 44.4333)
